"DATASET: Immigration by age group, sex and country of birth [migr_imm3ctb]"

"LAST UPDATE: 07.03.21 20:37:11"

"EXTRACTION DATE: 24.03.21 15:56:12"

"SOURCE OF DATA: Eurostat"

"TIME"
"2008"
"2009"
"2010"
"2011"
"2012"
"2013"
"2014"
"2015"
"2016"
"2017"
"2018"
"2019"

"GEO"
"Belgium"
"Bulgaria"
"Czechia"
"Denmark"
"Germany (until 1990 former territory of the FRG)"
"Estonia"
"Ireland"
"Greece"
"Spain"
"France"
"Croatia"
"Italy"
"Cyprus"
"Latvia"
"Lithuania"
"Luxembourg"
"Hungary"
"Malta"
"Netherlands"
"Austria"
"Poland"
"Portugal"
"Romania"
"Slovenia"
"Slovakia"
"Finland"
"Sweden"
"Iceland"
"Liechtenstein"
"Norway"
"Switzerland"
"United Kingdom"
"North Macedonia"

"AGE"
"Total"
"From 10 to 14 years"
"From 15 to 64 years"
"65 years or over"

"AGEDEF"
"Age reached during the year"

"C_BIRTH"
"Total"
"Reporting country"
"EU28 countries (2013-2020) except reporting country"
"Non-EU28 countries (2013-2020) nor reporting country"
"Unknown"

"UNIT"
"Number"

"SEX"
"Total"

"No footnotes available"

"Available flags:"
"b","break in time series"
"c","confidential"
"d","definition differs, see metadata"
"e","estimated"
"f","forecast"
"n","not significant"
"p","provisional"
"r","revised"
"s","Eurostat estimate"
"u","low reliability"
"z","not applicable"

"Special value:"
":","not available"

